animal,f,kao.axis,composite.axis,f+,f-
ant,small,large-small,large-small,small,large
ant,strong,strong-weak,strong-weak,strong,weak
ant,busy,busy-idle,busy-idle,busy,idle
bat,scary,scary-soothing,scary-soothing,scary,soothing
bat,blind,blind-sighted,blind-sighted,blind,sighted
bat,nocturnal,nocturnal-diurnal,nocturnal-diurnal,nocturnal,diurnal
bear,scary,scary-soothing,scary-soothing,scary,soothing
bear,big,big-small,large-small,large,small
bear,fierce,fierce-nonviolent,fierce-nonviolent,fierce,nonviolent
bee,busy,busy-idle,busy-idle,busy,idle
bee,small,large-small,large-small,small,large
bee,angry,angry-calm,angry-calm,angry,calm
bird,free,free-caged,free-captive,free,captive
bird,graceful,graceful-awkward,graceful-awkward,graceful,awkward
bird,small,large-small,large-small,small,large
buffalo,big,big-small,large-small,large,small
buffalo,strong,strong-weak,strong-weak,strong,weak
buffalo,wild,wild-tame,wild-tame,wild,tame
cat,independent,independent-dependent,independent-dependent,independent,dependent
cat,lazy,lazy-fast,busy-idle,idle,busy
cat,soft,soft-hard,hard-soft,soft,hard
cow,fat,fat-thin,fat-thin,fat,thin
cow,dumb,smart-dumb,smart-stupid,stupid,smart
cow,idle,lazy-fast,busy-idle,idle,busy
dog,loyal,loyal-disloyal,loyal-disloyal,loyal,disloyal
dog,friendly,friendly-unfriendly,friendly-unfriendly,friendly,unfriendly
dog,playful,playful-boring,playful-boring,playful,boring
dolphin,smart,smart-stupid,smart-stupid,smart,stupid
dolphin,friendly,friendly-unfriendly,friendly-unfriendly,friendly,unfriendly
dolphin,playful,playful-boring,playful-boring,playful,boring
duck,loud,loud-quiet,loud-quiet,loud,quiet
duck,cute,cute-unattractive,beautiful-ugly,beautiful,ugly
elephant,huge,huge-small,large-small,large,small
elephant,smart,smart-stupid,smart-stupid,smart,stupid
elephant,heavy,heavy-weightless,heavy-light,heavy,light
fish,scaly,scaly-smooth,scaly-smooth,scaly,smooth
fish,wet,wet-dry,wet-dry,wet,dry
fish,smelly,smelly-fragrant,smelly-odorless,smelly,odorless
fox,sly,sly-artless,sly-artless,sly,artless
fox,smart,smart-stupid,smart-stupid,smart,stupid
fox,pretty,pretty-ugly,beautiful-ugly,beautiful,ugly
frog,slimy,slimy-dry,slimy-dry,slimy,dry
frog,noisy,noisy-quiet,loud-quiet,loud,quiet
frog,jumpy,jumpy-relaxed,jumpy-relaxed,jumpy,relaxed
goat,funny,funny-humorless,funny-humorless,funny,humorless
goat,hungry,hungry-full,hungry-full,hungry,full
goat,loud,loud-quiet,loud-quiet,loud,quiet
goose,loud,loud-quiet,loud-quiet,loud,quiet
goose,mean,mean-nice,mean-nice,mean,nice
goose,annoying,annoying-agreeable,annoying-agreeable,annoying,agreeable
horse,fast,fast-slow,speedy-sluggish,fast,slow
horse,strong,strong-weak,strong-weak,strong,weak
horse,beautiful,beautiful-ugly,beautiful-ugly,beautiful,ugly
kangaroo,jumpy,jumpy-relaxed,jumpy-relaxed,jumpy,relaxed
kangaroo,bouncy,bouncy-inelastic,bouncy-inelastic,bouncy,inelastic
kangaroo,cute,cute-unattractive,beautiful-ugly,beautiful,ugly
lion,ferocious,ferocious-nonviolent,fierce-nonviolent,fierce,nonviolent
lion,scary,scary-soothing,scary-soothing,scary,soothing
lion,strong,strong-weak,strong-weak,strong,weak
monkey,funny,funny-humorless,funny-humorless,funny,humorless
monkey,smart,smart-stupid,smart-stupid,smart,stupid
monkey,playful,playful-boring,playful-boring,playful,boring
owl,wise,wise-foolish,wise-foolish,wise,foolish
owl,quiet,loud-quiet,loud-quiet,quiet,loud
owl,nocturnal,nocturnal-diurnal,nocturnal-diurnal,nocturnal,diurnal
ox,strong,strong-weak,strong-weak,strong,weak
ox,big,big-small,large-small,large,small
ox,slow,fast-slow,speedy-sluggish,slow,fast
penguin,cold,cold-hot,cold-hot,cold,hot
penguin,cute,cute-unattractive,beautiful-ugly,beautiful,ugly
penguin,funny,funny-humorless,funny-humorless,funny,humorless
pig,dirty,dirty-clean,dirty-clean,dirty,clean
pig,fat,fat-thin,fat-thin,fat,thin
pig,smelly,smelly-fragrant,smelly-fragrant,smelly,fragrant
rabbit,fast,fast-slow,speedy-sluggish,fast,slow
rabbit,furry,furry-hairless,furry-hairless,furry,hairless
rabbit,cute,cute-unattractive,beautiful-ugly,beautiful,ugly
shark,scary,scary-soothing,scary-soothing,scary,soothing
shark,dangerous,dangerous-safe,dangerous-safe,dangerous,safe
shark,mean,mean-nice,mean-nice,mean,nice
sheep,wooly,wooly-hairless,furry-hairless,furry,hairless
sheep,fluffy,fluffy-hard,hard-soft,soft,hard
sheep,dumb,smart-dumb,smart-stupid,stupid,smart
tiger,striped,striped-monochrome,striped-monochrome,striped,monochrome
tiger,fierce,fierce-nonviolent,fierce-nonviolent,fierce,nonviolent
tiger,scary,scary-soothing,scary-soothing,scary,soothing
whale,large,large-small,large-small,large,small
whale,graceful,graceful-awkward,graceful-awkward,graceful,awkward
whale,majestic,majestic-inferior,majestic-inferior,majestic,inferior
wolf,scary,scary-soothing,scary-soothing,scary,soothing
wolf,mean,mean-nice,mean-nice,mean,nice
wolf,angry,angry-calm,angry-calm,angry,calm
zebra,striped,striped-monochrome,striped-monochrome,striped,monochrome
zebra,exotic,exotic-native,wild-tame,wild,tame
zebra,fast,fast-slow,speedy-sluggish,fast,slow
